Z,A,BINDING ENERGY / A (keV)
44,88,8313
32,89,8169
33,89,8311
34,89,8438
35,89,8534.12
36,89,8616.959
37,89,8664.19
38,89,8705.924
39,89,8713.904
40,89,8673.284
41,89,8617.094
42,89,8544.86
43,89,8456
44,89,8353
45,89,8211
33,90,8245
34,90,8397
35,90,8485.069
36,90,8591.377
37,90,8631.483
38,90,8695.9
39,90,8693.272
40,90,8709.91
41,90,8633.318
42,90,8596.969
43,90,8488.714
44,90,8414
45,90,8271
33,91,8193
34,91,8332
35,91,8446.33
36,91,8545.447
37,91,8607.564
38,91,8663.802
39,91,8684.872
40,91,8693.257
41,91,8670.836
42,91,8613.577
43,91,8536.628
44,91,8448
45,91,8334
46,91,8197
33,92,8127
34,92,8289
35,92,8388.687
36,92,8512.845
37,92,8569.417
38,92,8648.91
39,92,8661.554
40,92,8692.622
41,92,8662.318
42,92,8657.692
43,92,8563.64
44,92,8506
45,92,8377
46,92,8283
34,93,8223
35,93,8347
36,93,8456.834
37,93,8540.895
38,93,8612.773
39,93,8648.862
40,93,8671.566
41,93,8664.135
42,93,8651.37
43,93,8608.539
44,93,8531.987
45,93,8437
46,93,8326
47,93,8179
34,94,8180
35,94,8289
36,94,8422
37,94,8492.663
38,94,8593.777
39,94,8622.774
40,94,8666.774
41,94,8648.852
42,94,8662.287
43,94,8608.69
44,94,8583.494
45,94,8473
46,94,8394
47,94,8247
35,95,8245
36,95,8365
37,95,8459.813
38,95,8549.082
39,95,8604.954
40,95,8643.569
41,95,8647.166
42,95,8648.674
43,95,8622.643
44,95,8587.386
45,95,8525.362
46,95,8431
47,95,8317
48,95,8168
35,96,8188
36,96,8330
37,96,8407.544
38,96,8521.419
39,96,8569.6
40,96,8635.368
41,96,8628.895
42,96,8653.941
43,96,8614.821
44,96,8609.326
45,96,8534.586
46,96,8490.499
47,96,8361
48,96,8265
35,97,8146
36,97,8275
37,97,8374.508
38,97,8473.987
39,97,8542.927
40,97,8603.82
41,97,8623.167
42,97,8635.048
43,97,8623.68
44,97,8604.193
45,97,8559.808
46,97,8502.361
47,97,8422.337
48,97,8309
49,97,8161
36,98,8241
37,98,8329.223
38,98,8448.016
39,98,8499.439
40,98,8581.45
41,98,8596.341
42,98,8635.125
43,98,8609.959
44,98,8620.309
45,98,8560.799
46,98,8533.685
47,98,8441.627
48,98,8378.235
49,98,8230
36,99,8186
37,99,8292.853
38,99,8399.161
39,99,8472.22
40,99,8540.758
41,99,8578.9
42,99,8607.754
43,99,8613.562
